code,cgst,sgst,igst
2504,2.5%,2.5%,5%
2505,2.5%,2.5%,5%
2506,2.5%,2.5%,5%
2507,2.5%,2.5%,5%
2508,2.5%,2.5%,5%
2509,2.5%,2.5%,5%
2510,2.5%,2.5%,5%
2511,2.5%,2.5%,5%
2512,2.5%,2.5%,5%
2513,2.5%,2.5%,5%
2514,2.5%,2.5%,5%
"[2515(Except 2515 12 10,2515 12 20,2515 12 90)or 6802",2.5%,2.5%,5%
2515 11 00,2.5%,2.5%,5%
"2516[Except 2516 11 00,2516 12 00]",2.5%,2.5%,5%
2516 11 00,2.5%,2.5%,5%
2517,2.5%,2.5%,5%
2518,2.5%,2.5%,5%
2519,2.5%,2.5%,5%
2520,2.5%,2.5%,5%
2521,2.5%,2.5%,5%
2522,2.5%,2.5%,5%
2524,2.5%,2.5%,5%
2525,2.5%,2.5%,5%
2526,2.5%,2.5%,5%
2528,2.5%,2.5%,5%
2529,2.5%,2.5%,5%
2530,2.5%,2.5%,5%
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
2611,2.5%,2.5%,5%
2612,2.5%,2.5%,5%
2613,2.5%,2.5%,5%
2614,2.5%,2.5%,5%
2615,2.5%,2.5%,5%
2616,2.5%,2.5%,5%
2617,2.5%,2.5%,5%
2618,2.5%,2.5%,5%
2621,2.5%,2.5%,5%
27,2.5%,2.5%,5%
2701,2.5%,2.5%,5%
2702,2.5%,2.5%,5%
2703,2.5%,2.5%,5%
2704,2.5%,2.5%,5%
2705,2.5%,2.5%,5%
2706,2.5%,2.5%,5%
2710,2.5%,2.5%,5%
"2711 12 00,2711 13 00,2711 19  00",2.5%,2.5%,5%
"2711 12 002711 13 00,2711 19 00",2.5%,2.5%,5%
28,2.5%,2.5%,5%
28,2.5%,2.5%,5%
28,2.5%,2.5%,5%
28,2.5%,2.5%,5%
2805 11,2.5%,2.5%,5%
2809,2.5%,2.5%,5%
2845,2.5%,2.5%,5%
2853,2.5%,2.5%,5%
30,2.5%,2.5%,5%
"3002, 3006",2.5%,2.5%,5%
30,2.5%,2.5%,5%
30,2.5%,2.5%,5%
30,2.5%,2.5%,5%
30,2.5%,2.5%,5%
30,2.5%,2.5%,5%
30 or any Chapter,2.5%,2.5%,5%
30,2.5%,2.5%,5%
30,2.5%,2.5%,5%
3101,2.5%,2.5%,5%
3102,2.5%,2.5%,5%
3103,2.5%,2.5%,5%
3104,2.5%,2.5%,5%
3105,2.5%,2.5%,5%
32,2.5%,2.5%,5%
3202,2.5%,2.5%,5%
3307 41 00,2.5%,2.5%,5%
3402,2.5%,2.5%,5%
3816,2.5%,2.5%,5%
386,2.5%,2.5%,5%
 , , , 
4001,2.5%,2.5%,5%
4004 00 00,2.5%,2.5%,5%
4011 30 00,2.5%,2.5%,5%
"4011, 4013",2.5%,2.5%,5%
4016,2.5%,2.5%,5%
4017,2.5%,2.5%,5%
4101,2.5%,2.5%,5%
4102,2.5%,2.5%,5%
4103,2.5%,2.5%,5%
4104,2.5%,2.5%,5%
4105,2.5%,2.5%,5%
4106,2.5%,2.5%,5%
4107,2.5%,2.5%,5%
4112,2.5%,2.5%,5%
4113,2.5%,2.5%,5%
4114,2.5%,2.5%,5%
4115,2.5%,2.5%,5%
4401,2.5%,2.5%,5%
4501,2.5%,2.5%,5%
"4601, 4602",2.5%,2.5%,5%
4707,2.5%,2.5%,5%
4801,2.5%,2.5%,5%
4823,2.5%,2.5%,5%
4901,2.5%,2.5%,5%
5004 to5006,2.5%,2.5%,5%
5007,2.5%,2.5%,5%
5104,2.5%,2.5%,5%
5105,2.5%,2.5%,5%
5106 to 5110,2.5%,2.5%,5%
5111 to5113,2.5%,2.5%,5%
5201 to5203,2.5%,2.5%,5%
5204,2.5%,2.5%,5%
5205 to5207,2.5%,2.5%,5%
5208 to5212,2.5%,2.5%,5%
5301,2.5%,2.5%,5%
5302,2.5%,2.5%,5%
5303,2.5%,2.5%,5%
5305 to5308,2.5%,2.5%,5%
5309 to5311,2.5%,2.5%,5%
"5407, 5408",2.5%,2.5%,5%
5512 to5516,2.5%,2.5%,5%
5605 00 10,2.5%,2.5%,5%
5607,2.5%,2.5%,5%
5608,2.5%,2.5%,5%
5609,2.5%,2.5%,5%
"5702,5703,5705",2.5%,2.5%,5%
5801,2.5%,2.5%,5%
5806,2.5%,2.5%,5%
5808,2.5%,2.5%,5%
"5809, 5810",2.5%,2.5%,5%
60,2.5%,2.5%,5%
61 or 6501or 6505,2.5%,2.5%,5%
62,2.5%,2.5%,5%
"63  [other than 6305 3200, 6309]",2.5%,2.5%,5%
6309 or6310,2.5%,2.5%,5%
 , , , 
6602 00 00,2.5%,2.5%,5%
 , , , 
 , , , 
 , , , 
 , , , 
7001,2.5%,2.5%,5%
7018,2.5%,2.5%,5%
84,2.5%,2.5%,5%
"8407 10 00,8411",2.5%,2.5%,5%
"8413, 841391",2.5%,2.5%,5%
8419 12,2.5%,2.5%,5%
8437,2.5%,2.5%,5%
 , , , 
84 or 85,2.5%,2.5%,5%
8504,2.5%,2.5%,5%
8509,2.5%,2.5%,5%
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
87,2.5%,2.5%,5%
8713,2.5%,2.5%,5%
8714 20,2.5%,2.5%,5%
88 or Any other chapter,2.5%,2.5%,5%
8802 or8806,2.5%,2.5%,5%
8807,2.5%,2.5%,5%
8901,2.5%,2.5%,5%
8902,2.5%,2.5%,5%
8904,2.5%,2.5%,5%
8905,2.5%,2.5%,5%
8906,2.5%,2.5%,5%
8907,2.5%,2.5%,5%
Any chapter,2.5%,2.5%,5%
90,2.5%,2.5%,5%
90 or any otherChapter,2.5%,2.5%,5%
90 or 84,2.5%,2.5%,5%
90 or any other Chapter,2.5%,2.5%,5%
90 or any otherChapter,2.5%,2.5%,5%
9404,2.5%,2.5%,5%
9401 10 00,2.5%,2.5%,5%
9405,2.5%,2.5%,5%
"9405 91 00,9405 92 00or 9405 9900",2.5%,2.5%,5%
9503,2.5%,2.5%,5%
9507,2.5%,2.5%,5%
9601,2.5%,2.5%,5%
9603 otherthan 9603 1000,2.5%,2.5%,5%
9704,2.5%,2.5%,5%
9705,2.5%,2.5%,5%
9804,2.5%,2.5%,5%
Any Chapter,2.5%,2.5%,5%
Anychapter,2.5%,2.5%,5%
4601 and 4602,2.5 %,2.5 %,5%
4823,2.5 %,2.5 %,5%
"5607, 5609",2.5 %,2.5 %,5%
"5609 00 20,5609 00 90",2.5%,2.5%,5%
57,2.5 %,2.5 %,5%
5804 30 00,2.5 %,2.5 %,5%
5805,2.5 %,2.5 %,5%
5808 10,2.5 %,2.5 %,5%
5810,2.5 %,2.5 %,5%
"6117, 6214",2.5 %,2.5 %,5%
7018 10,2.5 %,2.5 %,5%
"0101 21 00,0101 29",6%,6%,12%
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
"0402 91 10,0402 99 20",6%,6%,12%
0405,6%,6%,12%
0406,6%,6%,12%
0801,6%,6%,12%
0802,6%,6%,12%
0804,6%,6%,12%
0805,6%,6%,12%
0813,6%,6%,12%
1108,6%,6%,12%
1501,6%,6%,12%
1502,6%,6%,12%
1503,6%,6%,12%
1504,6%,6%,12%
1505,6%,6%,12%
1506,6%,6%,12%
1516,6%,6%,12%
1517,6%,6%,12%
1518,6%,6%,12%
1601,6%,6%,12%
1602,6%,6%,12%
1603,6%,6%,12%
1604,6%,6%,12%
1605,6%,6%,12%
"1701 91 , 170199",6%,6%,12%
1704,6%,6%,12%
1902,6%,6%,12%
2001,6%,6%,12%
2002,6%,6%,12%
2003,6%,6%,12%
2004,6%,6%,12%
2005,6%,6%,12%
2006,6%,6%,12%
2007,6%,6%,12%
2008,6%,6%,12%
2009,6%,6%,12%
2009 89 90,6%,6%,12%
2101 30,6%,6%,12%
2102,6%,6%,12%
2103,6%,6%,12%
2106,6%,6%,12%
210690,6%,6%,12%
2106 90 91,6%,6%,12%
2201,6%,6%,12%
2202 99 10,6%,6%,12%
2202 99 20,6%,6%,12%
 , , , 
2202 99 30,6%,6%,12%
2515 1210,6%,6%,12%
2516,6%,6%,12%
28,6%,6%,12%
28,6%,6%,12%
28,6%,6%,12%
28 or 38,6%,6%,12%
2801 20,6%,6%,12%
2804 40 10,6%,6%,12%
 , , , 
2847,6%,6%,12%
29 or 3808 93,6%,6%,12%
3001,6%,6%,12%
3002,6%,6%,12%
3003,6%,6%,12%
3004,6%,6%,12%
3005,6%,6%,12%
3006,6%,6%,12%
 , , , 
 , , , 
 , , , 
 , , , 
3215,6%,6%,12%
 , , , 
3306 1010,6%,6%,12%
3307 41 00,6%,6%,12%
"29, 30, 3301",6%,6%,12%
3406,6%,6%,12%
3605 00 10,6%,6%,12%
3701,6%,6%,12%
3705,6%,6%,12%
3706,6%,6%,12%
3808,6%,6%,12%
3818,6%,6%,12%
3822,6%,6%,12%
3826,6%,6%,12%
 , , , 
3926,6%,6%,12%
3926,6%,6%,12%
4007,6%,6%,12%
4014,6%,6%,12%
4015,6%,6%,12%
4016,6%,6%,12%
 , , , 
 , , , 
 , , , 
4202 22 20,6%,6%,12%
4202 22 30,6%,6%,12%
4203,6%,6%,12%
44 or any Chapter,6%,6%,12%
"44, 68, 83",6%,6%,12%
4404,6%,6%,12%
4405,6%,6%,12%
4406,6%,6%,12%
4408,6%,6%,12%
4409,6%,6%,12%
4415,6%,6%,12%
4416,6%,6%,12%
4417,6%,6%,12%
4418,6%,6%,12%
4419,6%,6%,12%
4420,6%,6%,12%
4421,6%,6%,12%
4502 00 00,6%,6%,12%
4503,6%,6%,12%
4504,6%,6%,12%
 , , , 
 , , , 
 , , , 
4701,6%,6%,12%
4702,6%,6%,12%
4703,6%,6%,12%
4704,6%,6%,12%
4705,6%,6%,12%
4706,6%,6%,12%
 , , , 
4802,6%,6%,12%
4804,6%,6%,12%
4805,6%,6%,12%
4806 20 00,6%,6%,12%
4806 40 10,6%,6%,12%
4807,6%,6%,12%
4808,6%,6%,12%
4810,6%,6%,12%
4811,6%,6%,12%
4817 30,6%,6%,12%
 , , , 
4820,6%,6%,12%
4823,6%,6%,12%
48,6%,6%,12%
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
5401,6%,6%,12%
"5402, 5403,5404, 5405,5406",6%,6%,12%
5508,6%,6%,12%
"5509, 5510,5511",6%,6%,12%
5601,6%,6%,12%
5602,6%,6%,12%
5603,6%,6%,12%
5604,6%,6%,12%
5605,6%,6%,12%
5606,6%,6%,12%
5607,6%,6%,12%
 , , , 
5609,6%,6%,12%
5701,6%,6%,12%
5702,6%,6%,12%
5703,6%,6%,12%
5704,6%,6%,12%
5705,6%,6%,12%
5801, , , 
5802,6%,6%,12%
5803,6%,6%,12%
5804,6%,6%,12%
5805,6%,6%,12%
 , , , 
5807,6%,6%,12%
5808,6%,6%,12%
5809,6%,6%,12%
5810,6%,6%,12%
5811,6%,6%,12%
5901,6%,6%,12%
5902,6%,6%,12%
5903,6%,6%,12%
5904,6%,6%,12%
5905,6%,6%,12%
5906,6%,6%,12%
5907,6%,6%,12%
5908,6%,6%,12%
5909,6%,6%,12%
5910,6%,6%,12%
5911,6%,6%,12%
61,6%,6%,12%
62,6%,6%,12%
63 other than6309,6%,6%,12%
 , , , 
64,6%,6%,12%
6501,6%,6%,12%
6505,6%,6%,12%
6601,6%,6%,12%
6602,6%,6%,12%
6603,6%,6%,12%
6701,6%,6%,12%
68,6%,6%,12%
6802,6%,6%,12%
6815,6%,6%,12%
6901 00 10,6%,6%,12%
6904 10 00,6%,6%,12%
6905 10 00,6%,6%,12%
 , , , 
6909,6%,6%,12%
6911,6%,6%,12%
6912,6%,6%,12%
6913,6%,6%,12%
7015 10,6%,6%,12%
7020,6%,6%,12%
7310 or 7326,6%,6%,12%
7317,6%,6%,12%
7319,6%,6%,12%
7321,6%,6%,12%
7323,6%,6%,12%
7418,6%,6%,12%
7419 80 30,6%,6%,12%
7615,6%,6%,12%
8211,6%,6%,12%
8214,6%,6%,12%
8215,6%,6%,12%
8306,6%,6%,12%
8401,6%,6%,12%
8408,6%,6%,12%
8413,6%,6%,12%
8414 20 10,6%,6%,12%
8414 20 20,6%,6%,12%
8414 90 12,6%,6%,12%
8420,6%,6%,12%
8424,6%,6%,12%
8424,6%,6%,12%
8432,6%,6%,12%
8433,6%,6%,12%
8434,6%,6%,12%
8436,6%,6%,12%
8452,6%,6%,12%
8479,6%,6%,12%
"84, 85 or 94",6%,6%,12%
 , , , 
 , , , 
8525 60,6%,6%,12%
8539,6%,6%,12%
 , , , 
87,6%,6%,12%
8701,6%,6%,12%
8710,6%,6%,12%
8712,6%,6%,12%
8714,6%,6%,12%
8716 20 00,6%,6%,12%
871680,6%,6%,12%
90 or any otherChapter,6%,6%,12%
90 or any otherChapter,6%,6%,12%
9001,6%,6%,12%
[9003,6%,6%,12%
9004,6%,6%,12%
9017 20,6%,6%,12%
9018,6%,6%,12%
9019,6%,6%,12%
9020,6%,6%,12%
9021,6%,6%,12%
9022,6%,6%,12%
9403,6%,6%,12%
9404,6%,6%,12%
9404,6%,6%,12%
9404,6%,6%,12%
9405,6%,6%,12%
9405,6%,6%,12%
9405,6%,6%,12%
9503,6%,6%,12%
9504,6%,6%,12%
9506,6%,6%,12%
9507,6%,6%,12%
9601,6%,6%,12%
9607,6%,6%,12%
 , , , 
"9608, 9609",6%,6%,12%
9615,6%,6%,12%
"9619 00 30,9619 00 40, or9619 00 90",6%,6%,12%
9701,6%,6%,12%
9702,6%,6%,12%
9703,6%,6%,12%
9705,6%,6%,12%
9706,6%,6%,12%
9804,6%,6%,12%
 , , , 
 , , , 
3406,6 %,6 %,12%
"4202 22,4202 29,4202 31 10,4202 31 90,4202 32,4202 39",6 %,6 %,12%
"4416,4421 99 90",6 %,6 %,12%
4414,6 %,6 %,12%
4420,6 %,6 %,12%
4503 90 904504 90,6 %,6 %,12%
"6117, 6214",6 %,6 %,12%
6802,6 %,6 %,12%
6815 99 90,6 %,6 %,12%
6912 00 106912 00 20,6%,6%,12%
6913 90 00,6 %,6 %,12%
7009 92 00,6 %,6 %,12%
7018 90 10,6 %,6 %,12%
7020 00 90,6 %,6 %,12%
7326 90 99,6 %,6 %,12%
7419 80,6 %,6 %,12%
7616 99 90,6 %,6 %,12%
8306,6 %,6 %,12%
9405 10,6 %,6 %,12%
"9401 50,9403 80",6 %,6 %,12%
9503,6 %,6 %,12%
9504,6 %,6 %,12%
9601,6 %,6 %,12%
9602,6 %,6 %,12%
9701,6 %,6 %,12%
9703,6 %,6 %,12%
 , , , 
1107,9%,9%,18%
1302,9%,9%,18%
1404 90 10,9%,9%,18%
1404 90 50,9%,9%,18%
1517 10,9%,9%,18%
1520 00 00,9%,9%,18%
1521,9%,9%,18%
1522,9%,9%,18%
 , , , 
1702,9%,9%,18%
1704,9%,9%,18%
1804,9%,9%,18%
1805,9%,9%,18%
1806,9%,9%,18%
1901 [other than1901 20 00],9%,9%,18%
 , , , 
1904 [other than1904 10 20],9%,9%,18%
1905,9%,9%,18%
"2101 11, 2101 1200",9%,9%,18%
2101 20,9%,9%,18%
 , , , 
 , , , 
 , , , 
2104,9%,9%,18%
2105 00 00,9%,9%,18%
2106,9%,9%,18%
2201,9%,9%,18%
"2202 91 00, 220299 90",9%,9%,18%
2207,9%,9%,18%
2209,9%,9%,18%
2404 12 00,9%,9%,18%
"2404 91 00, 240492 00, 2404 99 00",9%,9%,18%
"2515 12 20, 251512 90",9%,9%,18%
2516 12 00,9%,9%,18%
2601,9%,9%,18%
2602,9%,9%,18%
2603,9%,9%,18%
2604,9%,9%,18%
2605,9%,9%,18%
2606,9%,9%,18%
2607,9%,9%,18%
2608,9%,9%,18%
2609,9%,9%,18%
2610,9%,9%,18%
 , , , 
2619,9%,9%,18%
2620,9%,9%,18%
2621,9%,9%,18%
2706,9%,9%,18%
2707,9%,9%,18%
2708,9%,9%,18%
2710,9%,9%,18%
2711,9%,9%,18%
2712,9%,9%,18%
2713,9%,9%,18%
2714,9%,9%,18%
2715,9%,9%,18%
28,9%,9%,18%
29,9%,9%,18%
 , , , 
3102,9%,9%,18%
3103,9%,9%,18%
3104,9%,9%,18%
3105,9%,9%,18%
3201,9%,9%,18%
3202,9%,9%,18%
3203,9%,9%,18%
3204,9%,9%,18%
3205,9%,9%,18%
3206,9%,9%,18%
3207,9%,9%,18%
3208,9%,9%,18%
3209,9%,9%,18%
3210,9%,9%,18%
3211 00 00,9%,9%,18%
3212,9%,9%,18%
3213,9%,9%,18%
3214,9%,9%,18%
 , , , 
3301,9%,9%,18%
3302,9%,9%,18%
3303,9%,9%,18%
[3304,9%,9%,18%
3305,9%,9%,18%
[3306,9%,9%,18%
3307,9%,9%,18%
3401,9%,9%,18%
3402,9%,9%,18%
3403,9%,9%,18%
3404,9%,9%,18%
3405,9%,9%,18%
3407,9%,9%,18%
3501,9%,9%,18%
3502,9%,9%,18%
3503,9%,9%,18%
3504,9%,9%,18%
3505,9%,9%,18%
3506,9%,9%,18%
3507,9%,9%,18%
3601,9%,9%,18%
3602,9%,9%,18%
3603,9%,9%,18%
3604,9%,9%,18%
 , , , 
3606,9%,9%,18%
3701,9%,9%,18%
3702,9%,9%,18%
3703,9%,9%,18%
3704,9%,9%,18%
3706,9%,9%,18%
3707,9%,9%,18%
3801,9%,9%,18%
3802,9%,9%,18%
3803 00 00,9%,9%,18%
3804,9%,9%,18%
3805,9%,9%,18%
3806,9%,9%,18%
3807,9%,9%,18%
3808,9%,9%,18%
3809,9%,9%,18%
3810,9%,9%,18%
3811,9%,9%,18%
3812,9%,9%,18%
3813,9%,9%,18%
3814,9%,9%,18%
3815,9%,9%,18%
3816,9%,9%,18%
3817,9%,9%,18%
3818,9%,9%,18%
3819,9%,9%,18%
3820,9%,9%,18%
3821,9%,9%,18%
3823,9%,9%,18%
3824,9%,9%,18%
3825,9%,9%,18%
3827,9%,9%,18%
 , , , 
3901 to 3913,9%,9%,18%
3914,9%,9%,18%
3915,9%,9%,18%
 , , , 
3916,9%,9%,18%
3917,9%,9%,18%
3918,9%,9%,18%
3919,9%,9%,18%
3920,9%,9%,18%
3921,9%,9%,18%
3922,9%,9%,18%
3923,9%,9%,18%
3924,9%,9%,18%
3925,9%,9%,18%
3926,9%,9%,18%
4002,9%,9%,18%
4003,9%,9%,18%
4004,9%,9%,18%
4005,9%,9%,18%
4006,9%,9%,18%
4007,9%,9%,18%
4008,9%,9%,18%
4009,9%,9%,18%
4010,9%,9%,18%
4011,9%,9%,18%
4012,9%,9%,18%
4013,9%,9%,18%
4014,9%,9%,18%
4015,9%,9%,18%
4016,9%,9%,18%
4017,9%,9%,18%
4201,9%,9%,18%
4202,9%,9%,18%
4203,9%,9%,18%
4205,9%,9%,18%
4206,9%,9%,18%
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
 , , , 
4301,9%,9%,18%
4302,9%,9%,18%
4303,9%,9%,18%
4304,9%,9%,18%
4403,9%,9%,18%
4407,9%,9%,18%
4408,9%,9%,18%
4409,9%,9%,18%
4410,9%,9%,18%
4411,9%,9%,18%
4412,9%,9%,18%
4413,9%,9%,18%
4414,9%,9%,18%
4418,9%,9%,18%
4421,9%,9%,18%
44 or any Chapter,9%,9%,18%
44 or any Chapter,9%,9%,18%
 , , , 
4501,9%,9%,18%
 , , , 
 , , , 
 , , , 
4803,9%,9%,18%
"4806[Except 4806 2000, 4806 40 10]",9%,9%,18%
4809,9%,9%,18%
4811,9%,9%,18%
4812,9%,9%,18%
4813,9%,9%,18%
4814,9%,9%,18%
4816,9%,9%,18%
4817[Except 4817 30],9%,9%,18%
4818,9%,9%,18%
4819,9%,9%,18%
4820,9%,9%,18%
4821,9%,9%,18%
4822,9%,9%,18%
4823,9%,9%,18%
4906 00 00,9%,9%,18%
4907,9%,9%,18%
4908,9%,9%,18%
4909,9%,9%,18%
4910,9%,9%,18%
4911,9%,9%,18%
 , , , 
"5402, 5404, 5406",9%,9%,18%
"5403, 5405, 5406",9%,9%,18%
"5501, 5502",9%,9%,18%
"5503, 5504, 5506,5507",9%,9%,18%
5505,9%,9%,18%
56012200,9%,9%,18%
3923 or 6305,9%,9%,18%
6305 32 00,9%,9%,18%
 , , , 
 , , , 
6401,9%,9%,18%
6402,9%,9%,18%
6403,9%,9%,18%
6404,9%,9%,18%
6405,9%,9%,18%
6406,9%,9%,18%
6501,9%,9%,18%
6502,9%,9%,18%
6504 00 00,9%,9%,18%
6505,9%,9%,18%
6506,9%,9%,18%
6507,9%,9%,18%
6702,9%,9%,18%
6703,9%,9%,18%
6704,9%,9%,18%
6801,9%,9%,18%
6802,9%,9%,18%
6803,9%,9%,18%
6804,9%,9%,18%
6805,9%,9%,18%
6806,9%,9%,18%
6807,9%,9%,18%
6808,9%,9%,18%
6809,9%,9%,18%
6810,9%,9%,18%
6811,9%,9%,18%
6812,9%,9%,18%
6813,9%,9%,18%
6814,9%,9%,18%
6815,9%,9%,18%
6901,9%,9%,18%
6902,9%,9%,18%
6903,9%,9%,18%
6904,9%,9%,18%
6905,9%,9%,18%
6906,9%,9%,18%
6907,9%,9%,18%
6909,9%,9%,18%
6910,9%,9%,18%
6914,9%,9%,18%
 , , , 
 , , , 
 , , , 
7002,9%,9%,18%
7003,9%,9%,18%
7004,9%,9%,18%
7005,9%,9%,18%
7006 00 00,9%,9%,18%
7007,9%,9%,18%
7008,9%,9%,18%
7009,9%,9%,18%
7010,9%,9%,18%
7011,9%,9%,18%
7013,9%,9%,18%
7014,9%,9%,18%
7015,9%,9%,18%
7016,9%,9%,18%
7017,9%,9%,18%
7018,9%,9%,18%
7019,9%,9%,18%
7020,9%,9%,18%
7201,9%,9%,18%
7202,9%,9%,18%
7203,9%,9%,18%
7204,9%,9%,18%
7205,9%,9%,18%
7206,9%,9%,18%
7207,9%,9%,18%
7208 to 7212,9%,9%,18%
7213 to 7215,9%,9%,18%
7216,9%,9%,18%
7217,9%,9%,18%
7218,9%,9%,18%
"7219, 7220",9%,9%,18%
"7221, 7222",9%,9%,18%
7223,9%,9%,18%
7224,9%,9%,18%
"7225, 7226",9%,9%,18%
"7227, 7228",9%,9%,18%
7229,9%,9%,18%
7301,9%,9%,18%
7302,9%,9%,18%
7303,9%,9%,18%
7304,9%,9%,18%
7305,9%,9%,18%
7306,9%,9%,18%
7307,9%,9%,18%
7308,9%,9%,18%
7309,9%,9%,18%
7310,9%,9%,18%
7311,9%,9%,18%
7312,9%,9%,18%
7313,9%,9%,18%
7314,9%,9%,18%
7315,9%,9%,18%
7316,9%,9%,18%
7317,9%,9%,18%
7318,9%,9%,18%
7319,9%,9%,18%
7320,9%,9%,18%
7321,9%,9%,18%
7322,9%,9%,18%
7323,9%,9%,18%
7323 9410,9%,9%,18%
7324,9%,9%,18%
7325,9%,9%,18%
7326,9%,9%,18%
7401,9%,9%,18%
7402,9%,9%,18%
7403,9%,9%,18%
7404,9%,9%,18%
7405,9%,9%,18%
7406,9%,9%,18%
7407,9%,9%,18%
7408,9%,9%,18%
7409,9%,9%,18%
7410,9%,9%,18%
7411,9%,9%,18%
7412,9%,9%,18%
7413,9%,9%,18%
7415,9%,9%,18%
7418,9%,9%,18%
7419,9%,9%,18%
7501,9%,9%,18%
7502,9%,9%,18%
7503,9%,9%,18%
7504,9%,9%,18%
7505,9%,9%,18%
7506,9%,9%,18%
7507,9%,9%,18%
7508,9%,9%,18%
7601,9%,9%,18%
7602,9%,9%,18%
7603,9%,9%,18%
7604,9%,9%,18%
7605,9%,9%,18%
7606,9%,9%,18%
7607,9%,9%,18%
7608,9%,9%,18%
